Company;Report URL;Type of Report;Year Published;Industry;Geography
Royal Bank of Canada;https://www.rbc.com/community-social-impact/_assets-custom/pdf/RBC-TCFD-Report-2020.PDF;Climate/TCFD Report;2020;Banks;Canada
Rolls-Royce Holdings;https://www.rolls-royce.com/~/media/Files/R/Rolls-Royce/documents/annual-report/2019/2019-full-annual-report.pdf;Mainstream Annual Report/Financial Filings;2019;Capital Goods;United Kingdom
Rolls-Royce Holdings;https://www.rolls-royce.com/~/media/Files/R/Rolls-Royce/documents/annual-report/2020/2020-full-annual-report.pdf;Mainstream Annual Report/Financial Filings;2020;Capital Goods;United Kingdom
Rockefeller Asset Management;https://rcm.rockco.com/insights_item/rockefeller-asset-management-2019-esg-annual-report/;Sustainability/ESG Report;2019;Asset Managers;United States of America
Rockefeller Asset Management;https://rcmbrand.rockco.com/wp-content/uploads/2021/04/Rockefeller-Sustainable-Investing-Annual-Report-2020-1.pdf;Sustainability/ESG Report;2020;Asset Managers;United States of America
Rio Tinto;https://www.riotinto.com/-/media/Content/Documents/Invest/Reports/Annual-reports/RT-Annual-report-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Metals and Mining;United Kingdom
Rio Tinto;https://www.riotinto.com/-/media/Content/Documents/Invest/Reports/Annual-reports/RT-Annual-report-2020.pdf?rev=6df52113b92840648d05a4ac9e4cc1d8;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;United Kingdom
Rio Tinto;https://www.riotinto.com/-/media/Content/Documents/Invest/Reports/Climate-Change-reports/RT-climate-report-2020.pdf?rev=c415a8138bd7408496ccb3834511abc0;Climate/TCFD Report;2020;Metals and Mining;United Kingdom
Repsol;https://www.repsol.com/content/dam/repsol-corporate/en_gb/accionistas-e-inversores/informes-anuales/2020/integrated-management-report-2020_tcm14-209132.pdf;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;Spain
Renault;https://www.renaultgroup.com/en/2020-Universal-Registration-Document/;Mainstream Annual Report/Financial Filings;2020;Automobiles and Components;France
Renault;https://www.renaultgroup.com/wp-content/uploads/2021/04/climate-report-renault-group.pdf;Climate/TCFD Report;2021;Automobiles and Components;France
Reliance Industries;https://www.ril.com/getattachment/57c07cd8-3cba-457b-a972-c02524df79b6/AnnualReport_2020-21.aspx;Mainstream Annual Report/Financial Filings;2020;Multi-Utilities;India
Regions Financial Corporation;https://ir.regions.com/~/media/Files/R/Regions-IR/documents/governance-documents/2020-task-force-on-climate-related-financial-disclosures-tcfd-report.pdf;Climate/TCFD Report;2020;Banks;United States of America
Regency Centres;https://regcorpweb.blob.core.windows.net/sitefinityfiles/docs/default-source/corporate-responsibility/2020-tcfd-report.pdf?sfvrsn=f3b73e48_2;Climate/TCFD Report;2020;Asset Managers;United States of America
Red Electrica de Espana;https://www.ree.es/sites/default/files/publication/2021/02/downloadable/CONSO_CCAA_2020_En.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Spain
RBS Group;https://www.investors.rbs.com/~/media/Files/R/RBS-IR-V2/results-center/rbsg-ara-2019-140220-0245-v3.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;United Kingdom
RBC Global Asset Management;https://www.rbcgam.com/documents/en/other/2020-rbc-gam-tcfd-report.pdf;Climate/TCFD Report;2020;Asset Managers;Canada
QBE;https://www.qbe.com/sustainability/climate-change;Mainstream Annual Report/Financial Filings;2020;Insurance;Austria
QBE;https://www.qbe.com/sustainability/climate-change;Climate/TCFD Report;2021;Insurance;Austria
PTT;https://www.pttplc.com/en/Media/Publications/Report.aspx;Mainstream Annual Report/Financial Filings;2020;Commercial and Professional Services;Turkey
Prudential;https://www.prudentialplc.com/~/media/Files/P/Prudential-V3/reports/2018/esg-report-2018.pdf;Sustainability/ESG Report;2018;Insurance;United Kingdom
Prudential;https://www.prudentialplc.com/~/media/Files/P/Prudential-V3/reports/2018/prudential-plc-ar-2018.pdf;Mainstream Annual Report/Financial Filings;2018;Insurance;United Kingdom
Prudential;https://www.prudentialplc.com/~/media/Files/P/Prudential-V3/reports/2019/esg-report-2019.pdf;Sustainability/ESG Report;2019;Insurance;United Kingdom
Prudential;https://www.prudentialplc.com/~/media/Files/P/Prudential-V3/reports/2019/prudential-plc-ar-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Insurance;United Kingdom
Prudential;https://www.prudentialplc.com/~/media/Files/P/Prudential-V3/reports/2020/esg-report-2020.pdf;Sustainability/ESG Report;2020;Insurance;United Kingdom
Prudential;https://www.prudentialplc.com/~/media/Files/P/Prudential-V3/reports/2020/prudential-plc-ar-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Insurance;United Kingdom
Prosus;https://presspage-production-content.s3.amazonaws.com/uploads/2658/prosus2021-annual-report2.pdf?10000;Mainstream Annual Report/Financial Filings;2020;Diversified Financials;South Africa
PPL Corporation;https://www.pplweb.com/wp-content/uploads/2021/05/PPL-2020-Corporate-Sustainability-Report.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;United States of America
Phillips 66;https://www.phillips66.com/sustainability/?_gl=1*1mpcegh*_ga*MTQxMDcwNjAyOS4xNjI3NTU2Mzkz*_ga_TRFNCWDYLY*MTYyNzU1NjM5Mi4xLjEuMTYyNzU1NjQwNy4w;Sustainability/ESG Report;2020;Electric and Gas Utilities;United States of America
Petrobras;https://api.mziq.com/mzfilemanager/v2/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/26874544-9d7c-68f6-b9e0-006146e13185?origin=1;Sustainability/ESG Report;2019;Oil and Gas;Brazil
Petrobras;https://api.mziq.com/mzfilemanager/v2/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/bc68ff60-68af-8fea-e1f2-147561547e52?origin=1;Sustainability/ESG Report;2020;Oil and Gas;Brazil
Petrobras;https://api.mziq.com/mzfilemanager/v2/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/213aa8f9-2bfc-0b3b-afd0-195d22555f27?origin=1;Climate/TCFD Report;2020;Oil and Gas;Brazil
Pernod Ricard;https://pernod-ricard.com/en/download/file/fid/10478/;Mainstream Annual Report/Financial Filings;2019;Beverages;France
Pernod Ricard;https://labrador.cld.bz/PERNOD-RICARD-Universal-Registration-Document-2019-2020;Mainstream Annual Report/Financial Filings;2020;Beverages;France
Panasonic;https://www.panasonic.com/global/corporate/ir/pdf/annual/2020/pana_ar2020e.pdf;Mainstream Annual Report/Financial Filings;2020;Consumer Goods and Apparel;Japan
Pan American Silver;https://www.panamericansilver.com/assets/documents/2020-Annual-Report.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;Canada
Osaka Gas;https://www.osakagas.co.jp/en/ir/library/ar/pdf/2020/e_ar2020.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Japan
Orsted;https://orsted.com/-/media/annual2019/Sustainability-report-2019-online-version.pdf;Sustainability/ESG Report;2019;Electric and Gas Utilities;Denmark
Orsted;"https://orstedcdn.azureedge.net/-/media/annual2019/esg-performance-report-2019.ashx?la=en&#038;rev=15282e6191c34fbe98e7fa764ad575ae&#038;hash=73309FB4BFF9E831A63B2929A7BB3674";Sustainability/ESG Report;2019;Electric and Gas Utilities;Denmark
Orsted;"https://orstedcdn.azureedge.net/-/media/annual2019/annual-report-2019.ashx?la=en&#038;rev=334895b2e83e4266afb7e97cfa9024f2&#038;hash=BA390050EDD075C9C7E514CF02BB8D6F";Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;Denmark
Orsted;"https://orstedcdn.azureedge.net/-/media/annual2020/annual-report-2020.ashx?la=en&#038;rev=982c3382c2f0459486e16c7098dd5b57&#038;hash=FEFF679F22C92424BB37037436E9C84A";Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Denmark
Origin Energy;https://www.originenergy.com.au/content/dam/origin/about/investors-media/documents/origin_annual_report_fy2020.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Australia
Orica;https://www.orica.com/Investor-Centre/company-reports#.YQKGkI5Kj84;Sustainability/ESG Report;2020;Construction Materials;Australia
Orica;https://www.orica.com/Investor-Centre/company-reports#.YQKGkI5Kj84;Mainstream Annual Report/Financial Filings;2020;Construction Materials;Australia
Orbia;https://www.orbia.com/49bb51/siteassets/5.-investor-relations/annual-reports/annual-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Capital Goods;Mexico
Orange;https://www.orange.com/sirius/derniers_resultats/en/ORANGE_URD_2019_VA.pdf;Mainstream Annual Report/Financial Filings;2019;IT and Communications Services;France
Orange;https://www.orange.com/sites/orangecom/files/documents/2021-05/Universal%20Registration%20Document%202020.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;France
OMV Group;https://www.omv.com/services/downloads/00/omv.com/1522185481528/dload_Sustainability%20Report%202018_en;Sustainability/ESG Report;2018;Oil and Gas;Austria
OMV Group;https://www.omv.com/services/downloads/00/omv.com/1522187582080/dload_Sustainability%20Report%202019_new_en;Sustainability/ESG Report;2019;Oil and Gas;Austria
OMV Group;https://omv.online-report.eu/en/sustainability-report/2020/servicepages/downloads/files/entire-omv-sr20.pdf;Sustainability/ESG Report;2020;Oil and Gas;Austria
Oil Search;https://www.oilsearch.com/__data/assets/pdf_file/0008/54278/2020-AR-Final.pdf;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;Papa New Guinea
NTPC;https://www.ntpc.co.in/sites/default/files/downloads/44-final-NTPC-AR-30082020.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;India
NRG Energy;https://www.nrg.com/assets/documents/sustainability/2020-nrg-sustainability.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;United States of America
NRG Energy;https://investors.nrg.com/static-files/1cc16fe5-016b-4480-89ee-dbc10a9c901e;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;United States of America
Novozymes;https://s21.q4cdn.com/655485906/files/doc_financials/2020/ar/The-Novozymes-Report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Pharmaceutical;Denmark
Novo Nordisk;https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2021/Novo-Nordisk-Annual-Report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Pharmaceutical;Denmark
Novartis;https://www.novartis.com/sites/www.novartis.com/files/novartis-in-society-report-2020.pdf;Sustainability/ESG Report;2020;Pharmaceutical;Switzerland
Northam Platinum;https://www.northam.co.za/investors-and-media/publications/annual-reports;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;South Africa
Norsk Hydro;"https://www.hydro.com/Document/Index?name=2018%20Annual%20report.pdf&#038;id=8525";Mainstream Annual Report/Financial Filings;2018;Electric and Gas Utilities;Norway
Norsk Hydro;"https://www.hydro.com/Document/Index?name=Annual%20report%202019%20web.pdf&#038;id=506433";Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;Norway
Norsk Hydro;https://www.hydro.com/globalassets/download-center/investor-downloads/ar20/annual-report-2020-new.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Norway
Nordea Bank;https://www.nordea.com/Images/33-353222/nordea-sustainability-report-2019.pdf;Sustainability/ESG Report;2019;Banks;Finland
Nordea Bank;https://www.nordea.com/en/doc/annual-report-nordea-bank-abp-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Finland
Nippon Steel;https://www.nipponsteel.com/en/ir/library/pdf/nsc_en_ir_2020_a3.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;Japan
Nestlé;https://www.nestle.com/sites/default/files/2021-03/creating-shared-value-report-2020-en.pdf;Sustainability/ESG Report;2020;Packaged Foods and Meats;Switzerland
Nestlé;https://www.nestle.com/sites/default/files/2021-03/2020-annual-review-en.pdf;Mainstream Annual Report/Financial Filings;2020;Packaged Foods and Meats;Switzerland
Nedbank Group;https://www.nedbank.co.za/content/dam/nedbank/site-assets/AboutUs/Information%20Hub/Integrated%20Report/2021/2020%20Nedbank%20Group%20Integrated%20Report%20(High%20Res%20single%20page).pdf;Mainstream Annual Report/Financial Filings;2020;Banks;South Africa
Nedbank Group;https://www.nedbank.co.za/content/dam/nedbank/site-assets/AboutUs/Information%20Hub/Integrated%20Report/2021/2020%20Nedbank%20Group%20TCFD%20Report%20(single%20page).pdf;Climate/TCFD Report;2020;Banks;South Africa
NatWest Group;https://investors.natwestgroup.com/~/media/Files/R/RBS-IR-V2/results-center/19022021/natwest-group-annual-report-accounts-2020-v1.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;United Kingdom
NatWest Group;https://investors.natwestgroup.com/~/media/Files/R/RBS-IR-V2/results-center/19022021/2020-climate-related-disclosure-report.pdf;Climate/TCFD Report;2020;Banks;United Kingdom
Naturgy Energy;https://www.naturgy.com/en/shareholders_and_investors/the_company/annual_reports;Sustainability/ESG Report;2020;Electric and Gas Utilities;Spain
National Grid;https://www.nationalgrid.com/document/138906/download;Mainstream Annual Report/Financial Filings;2018;Electric and Gas Utilities;United Kingdom
National Grid;https://www.nationalgrid.com/document/138876/download;Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;United Kingdom
National Grid;https://www.nationalgrid.com/document/138741/download;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;United Kingdom
National Grid;https://www.nationalgrid.com/document/142126/download;Mainstream Annual Report/Financial Filings;2021;Electric and Gas Utilities;United Kingdom
National Bank of Canada;https://www.nbc.ca/content/dam/bnc/a-propos-de-nous/relations-investisseurs/assemblee-annuelle/2021/nbc-annual-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Canada
MTN Group;https://www.mtn.com/wp-content/uploads/2021/04/MTN-Sustainability-report.pdf;Sustainability/ESG Report;2020;IT and Communications Services;South Africa
"Moody&#8217;s";https://www.moodys.com/sites/products/ProductAttachments/CSR/Moodys_2019_CSR_Report.pdf;Sustainability/ESG Report;2019;Commercial and Professional Services;United States of America
Mondi;https://www.mondigroup.com/media/13636/mondi_group_sustainable_development_report_2020.pdf;Sustainability/ESG Report;2020;Paper, Packaging and Forest Products;South Africa
Mondi;https://www.mondigroup.com/media/13645/mondi_integrated-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Paper, Packaging and Forest Products;South Africa
Mizuho Financial Group;https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/investors/financial-information/annual/data1803_all.pdf;Mainstream Annual Report/Financial Filings;2018;Banks;Japan
Mizuho Financial Group;https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/investors/financial-information/annual/data1903/data1903_all_2.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;Japan
Mizuho Financial Group;https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/investors/financial-information/annual/data2003/data2003_all.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Japan
Mizuho Financial Group;https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/sustainability/overview/report/tcfd_report.pdf;Climate/TCFD Report;2020;Banks;Japan
Mizuho Financial Group;https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/sustainability/overview/report/tcfd_report.pdf;Climate/TCFD Report;2021;Banks;Japan
Meiji Holdings;https://www.meiji.com/global/investors/results-and-presentations/integrated-reports/pdf/2020/integrated-reports_2020_en_all.pdf;Mainstream Annual Report/Financial Filings;2020;Pharmaceutical;Japan
Marathon Petroleum;https://www.marathonpetroleum.com/content/documents/Responsibility/2020-MPC-MPLX-ClimateReport.pdf;Climate/TCFD Report;2020;Oil and Gas;United States of America
Manila Water Company;https://www.manilawater.com/storage/files/1/manila-water-investors/Results%20and%20Presentations/2020%20MWC%20Integrated%20Report_sm.pdf;Mainstream Annual Report/Financial Filings;2020;Water Utilities;Philippines
Maersk;https://investor.maersk.com/static-files/57bf2e50-075d-49f2-a94c-129e68e407cc;Sustainability/ESG Report;2018;Maritime Transportation;Denmark
Maersk;https://investor.maersk.com/static-files/7159c0ac-f547-465b-bc64-1dc05c6a7fd5;Sustainability/ESG Report;2019;Maritime Transportation;Denmark
Maersk;https://investor.maersk.com/static-files/984a2b93-0035-40d3-9cae-77161c9a36e0;Mainstream Annual Report/Financial Filings;2019;Maritime Transportation;Denmark
Maersk;https://investor.maersk.com/static-files/76f5d65d-13eb-4604-b9fa-c10bf51d8ff1;Sustainability/ESG Report;2020;Maritime Transportation;Denmark
Maersk;https://investor.maersk.com/static-files/97a03c29-46a2-4e84-9b7e-12d4ee451361;Mainstream Annual Report/Financial Filings;2020;Maritime Transportation;Denmark
Macquarie Group;https://www.macquarie.com/assets/macq/about/company/corporate-governance-documents/corporate-governance-fy19-annual-report.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;Australia
Macquarie Group;https://www.macquarie.com/assets/macq/investor/reports/2020/Macquarie-Group-FY20-Annual-Report.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Australia
Macquarie Group;https://www.macquarie.com/assets/macq/impact/esg/policies/tcfd-implementation-progress-and-scenario-analysis-fy20.pdf;Climate/TCFD Report;2020;Banks;Australia
Macquarie Group;https://www.macquarie.com/assets/macq/investor/reports/2021/macquarie-group-fy21-annual-report.pdf;Mainstream Annual Report/Financial Filings;2021;Banks;Australia
Macquarie Group;https://www.macquarie.com/assets/macq/impact/esg/policies/fy21-tcfd-implementation-progress-and-scenario-analysis.pdf;Climate/TCFD Report;2021;Banks;Australia
Lundin Energy;https://www.lundin-energy.com/sustainability/climate-change/;Sustainability/ESG Report;2020;Oil and Gas;Sweden
"L&#8217;Oréal";https://www.loreal-finance.com/sites/default/files/2019-08/LOreal_2018_Registration_Document.pdf;Mainstream Annual Report/Financial Filings;2018;Consumer Goods and Apparel;France
"L&#8217;Oréal";https://www.loreal-finance.com/system/files/2020-08/LOREAL_2019_Universal_Registration_Document_en.pdf;Mainstream Annual Report/Financial Filings;2019;Consumer Goods and Apparel;France
"L&#8217;Oréal";https://www.loreal-finance.com/system/files/2021-03/LOREAL_2020_Universal_Registration_Document_en_0_0.pdf;Mainstream Annual Report/Financial Filings;2020;Consumer Goods and Apparel;France
Lloyds Banking Group;https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2017-download-links/2017_lbg_annual_report.pdf;Mainstream Annual Report/Financial Filings;2017;Banks;United Kingdom
Lloyds Banking Group;https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2018-download-links/2018_lbg_annual_report.pdf;Mainstream Annual Report/Financial Filings;2018;Banks;United Kingdom
Lloyds Banking Group;https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2019-download-links/2019_lbg_annual_report.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;United Kingdom
Lloyds Banking Group;https://www.lloydsbankinggroup.com/assets/pdfs/who-we-are/responsible-business/downloads/lbg-esg-interactive-210223.pdf;Sustainability/ESG Report;2020;Banks;United Kingdom
Lloyds Banking Group;https://www.lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2020/2020-lbg-annual-report.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;United Kingdom
Lion Corporation;https://www.lion.co.jp/en/ir/pdf/ar/ir2021_A3.pdf;Mainstream Annual Report/Financial Filings;2021;Capital Goods;Japan
Lazard Asset Management;https://www.lazardassetmanagement.com/docs/-m0-/118602/TaskForceOnClimate-RelatedFinancial_en.pdf;Climate/TCFD Report;2021;Asset Managers;United States of America
Landsec;https://landsec.com/sites/default/files/2018-06/Landsec_AR2018_web_ready_final.pdf;Mainstream Annual Report/Financial Filings;2018;Real Estate Management and Development;United Kingdom
Landsec;https://landsec.com/sites/default/files/2019-06/Landsec_Sustainability_Performance_Data_2019.pdf;Sustainability/ESG Report;2019;Real Estate Management and Development;United Kingdom
Landsec;https://landsec.com/sites/default/files/2019-06/Landsec_AR2019_Final_for_web.pdf;Mainstream Annual Report/Financial Filings;2019;Real Estate Management and Development;United Kingdom
Landsec;https://landsec.com/sites/default/files/2020-06/Sustainability%20Performance%20and%20Data%20Report%202020.pdf;Sustainability/ESG Report;2020;Real Estate Management and Development;United Kingdom
Landsec;https://landsec.com/sites/default/files/2020-06/Annual%20Report%202020_0.pdf;Mainstream Annual Report/Financial Filings;2020;Real Estate Management and Development;United Kingdom
Landsec;https://landsec.com/sites/default/files/2021-06/Landsec_Sustainability_PerformanceAndDataReport_2021_Final.pdf;Sustainability/ESG Report;2021;Real Estate Management and Development;United Kingdom
Landsec;https://landsec.com/sites/default/files/2021-06/Landsec_AR2021_Interactive_Final.pdf;Mainstream Annual Report/Financial Filings;2021;Real Estate Management and Development;United Kingdom
Landsec;https://landsec.com/sites/default/files/2021-06/Net%20Zero%20Carbon%20Pathway_FINAL.pdf;Climate/TCFD Report;2021;Real Estate Management and Development;United Kingdom
Kyocera;https://global.kyocera.com/ir/library/pdf/integrated_report_2020_low.pdf;Mainstream Annual Report/Financial Filings;2020;Capital Goods;Japan
Kumba Iron Ore;https://www.angloamericankumba.com/~/media/Files/A/Anglo-American-Group/Kumba/investors/annual-reporting/integrated-report-2020/kumba-iar-full-report.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;South Africa
Koninklijke Philips;https://www.results.philips.com/publications/ar20;Mainstream Annual Report/Financial Filings;2020;Health Care Equipment and Services;Netherlands
Klabin;https://rs.klabin.com.br/wp-content/uploads/2020/07/klabin-RS19-impresso-EN-2-low-v2.pdf;Sustainability/ESG Report;2019;Paper, Packaging and Forest Products;Brazil
Kerry;https://www.kerrygroup.com/annual-report/assets/pdfs/KGAR2020_web.pdf;Mainstream Annual Report/Financial Filings;2020;Packaged Foods and Meats;Republic of Ireland
Kering;https://keringcorporate.dam.kering.com/m/4727d00d80ab511e/original/2019-Universal-Registration-Document-.pdf;Mainstream Annual Report/Financial Filings;2019;Consumer Goods and Apparel;France
Kering;https://keringcorporate.dam.kering.com/m/726533d8fa257732/original/Kering_2020_Universal_Registration_Document.pdf;Mainstream Annual Report/Financial Filings;2020;Consumer Goods and Apparel;France
JP Morgan Chase;https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-cr-esg-report-2019.pdf;Sustainability/ESG Report;2019;Banks;United States of America
JP Morgan Chase;https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-cr-climate-report-2019.pdf;Climate/TCFD Report;2019;Banks;United States of America
JP Morgan Chase;https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-esg-report-2020.pdf;Sustainability/ESG Report;2020;Banks;United States of America
JP Morgan Chase;https://jpmorganchaseco.gcs-web.com/static-files/e9fce7aa-15b7-439d-8ea3-a5a30c8e2dfe;Mainstream Annual Report/Financial Filings;2020;Banks;United States of America
JP Morgan Chase;https://jpmorganchaseco.gcs-web.com/static-files/52ecd530-2954-4619-acc6-2ebcdff4e173;Mainstream Annual Report/Financial Filings;2021;Banks;United States of America
JetBlue;http://blueir.investproductions.com/~/media/Files/J/Jetblue-IR-V2/Annual-Reports/jetblue-environmental-social-governance-2018.pdf;Sustainability/ESG Report;2018;Passenger Air Transportation;United States of America
Itausa;https://s3.sa-east-1.amazonaws.com/static.itausa.aatb.com.br/Documentos/8231_V4_Ita%c3%basa_Reference_Form_EN_12.18.2020.pdf;Mainstream Annual Report/Financial Filings;2020;Diversified Financials;Brazil
Itau Unibanco;https://www.itau.com.br/relacoes-com-investidores/annual-report/2019/pdf/integrated-report-2019.pdf;Sustainability/ESG Report;2019;Banks;Brazil
Itau Unibanco;"https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=cZXABlARI7ifJGQ47ABBig==&#038;IdCanal=Sqjrl1eBRjH/MQgu2IlC3Q==";Mainstream Annual Report/Financial Filings;2019;Banks;Brazil
Investor AB;https://adobeindd.com/view/publications/d91540c6-d5e4-4bd4-9a56-18e9aa06438a/1/publication-web-resources/pdf/Investor_Anuual_Report_2020_EN_P_O_L.pdf;Mainstream Annual Report/Financial Filings;2020;Asset Managers;Sweden
Investor AB;https://www.investorab.com/media/wiid2rbh/climate-report-2020.pdf;Climate/TCFD Report;2020;Asset Managers;Sweden
Invesco;https://www.invesco.com/content/dam/invesco/apac/en/pdf/insights/2020/july-2020/invesco-tcfd-task-force-on-climate-related-financial-disclosures-report-jul-2020.pdf;Climate/TCFD Report;2019;Asset Managers;United States of America
Intesa Sanpaolo;https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/sostenibilt%C3%A0/dcnf-2019/eng/DCNF%202019_en.pdf;Sustainability/ESG Report;2019;Banks;Italy
Intesa Sanpaolo;https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/investor-relations/bilanci-relazioni-en/2019/20200430_BILANCI_2019_Def_uk.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;Italy
Intesa Sanpaolo;https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/sostenibilt%C3%A0/dcnf-2020/eng/Consolidated_Non_Financial_Statement_2020.pdf;Sustainability/ESG Report;2020;Banks;Italy
Intesa Sanpaolo;https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/investor-relations/bilanci-relazioni-en/2020/20210428_Bilanci_2020_DEF_uk.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Italy
Integrated Micro-electronics;https://www.global-imi.com/investors/annual-reports;Mainstream Annual Report/Financial Filings;2020;Capital Goods;Philippines
ING Groep;https://www.ing.com/About-us/Annual-reporting-suite/Annual-Report/2019-Annual-Report.htm;Mainstream Annual Report/Financial Filings;2019;Banks;Netherlands
ING Groep;https://www.ing.com/Sustainability/Sustainable-business/Terra-approach.htm;Climate/TCFD Report;2019;Banks;Netherlands
ING Groep;https://www.ing.com/Investor-relations/Financial-performance/Annual-reports.htm;Mainstream Annual Report/Financial Filings;2020;Banks;Netherlands
ING Groep;https://www.ing.com/Sustainability/Sustainable-business/Terra-approach.htm;Climate/TCFD Report;2020;Banks;Netherlands
ING Bank;https://www.ing.com/About-us/Annual-reporting-suite/Annual-Report/2019-Annual-Report.htm;Mainstream Annual Report/Financial Filings;2019;Banks;Netherlands
ING Bank;https://www.ing.com/Investor-relations/Financial-performance/Annual-reports.htm;Mainstream Annual Report/Financial Filings;2020;Banks;Netherlands
Incitec Pivot;https://investors.incitecpivot.com.au/static-files/ae193d4c-d2c5-4bf8-a37e-f570c0e19c0d;Mainstream Annual Report/Financial Filings;2020;Chemicals;Australia
Ignitis Group;https://ignitisgrupe.lt/sites/default/files/inline-files/Ignitis%20Group%20Annual%20report%202020.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Lithuania
Iberdrola;https://www.iberdrola.com/wcorp/gc/prod/en_US/corporativos/docs/gsm20_IA_SustainabilityReport19_Acc.pdf;Sustainability/ESG Report;2019;Electric and Gas Utilities;Spain
Iberdrola;https://www.iberdrola.com/wcorp/gc/prod/en_US/corporativos/docs/gsm20_FinancialStatements_AuditorsReport_Consolidated_Acc.pdf;Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;Spain
Iberdrola;https://www.iberdrola.com/wcorp/gc/prod/en_US/corporativos/docs/gsm20_IA_IntegratedReport20_Acc.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;Spain
Iberdrola;https://www.iberdrola.com/wcorp/gc/prod/en_US/corporativos/docs/gsm21_IA_IntegratedReport21.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Spain
IAG;https://www.iairgroup.com/~/media/Files/I/IAG/annual-reports/2018-statement-of-non-financial-information-en.pdf;Sustainability/ESG Report;2018;Passenger Air Transportation;United Kingdom
IAG;https://www.iairgroup.com/~/media/Files/I/IAG/annual-reports/iag-annual-reports/en/annual-report-and-accounts2018-en.pdf;Mainstream Annual Report/Financial Filings;2018;Passenger Air Transportation;United Kingdom
